City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
81,Ifrane,100,MA,1694956257,55,33.3333,-5.25,67.14,9.75
82,Lemvig,99,DK,1694956257,82,56.5486,8.3102,69.21,10.22
83,Naryan-Mar,6,RU,1694955992,67,67.6713,53.087,47.98,3.67
84,Kharp,100,RU,1694956257,91,66.8014,65.8081,42.19,9.51
85,Muisne,100,EC,1694956257,87,0.6,-80.0333,76.59,8.21
86,Tura,29,IN,1694955999,91,25.5198,90.2201,77.41,3.06
87,Mogocha,100,RU,1694956257,96,53.7333,119.7667,45.23,3.27
88,Lihue,20,US,1694955798,78,21.9789,-159.3672,78.39,14.97
89,Benguela,77,AO,1694956257,75,-12.5763,13.4055,76.66,7.94
90,Olonkinbyen,100,SJ,1694955989,74,70.9221,-8.7187,37.94,17.58
91,Sultānpur,78,IN,1694956258,72,26.2667,82.0667,85.3,3.89
92,Port Mathurin,1,MU,1694955983,77,-19.6833,63.4167,73.42,21.36
93,Ujae,100,MH,1694956164,78,8.9322,165.7642,84.0,13.31
94,Ilulissat,75,GL,1694955997,86,69.2167,-51.1,33.82,3.44
95,Whitehorse,100,CA,1694955830,95,60.7161,-135.0538,38.88,6.46
96,San Patricio,14,US,1694955893,78,28.017,-97.5169,80.46,6.69
97,Narvik,100,NO,1694956258,85,68.4384,17.4272,47.61,6.67
98,Yerofey Pavlovich,100,RU,1694956168,97,53.9667,121.9667,46.71,3.38
99,Kristiansund,0,NO,1694956196,58,63.1115,7.732,57.25,3.44
100,Port Elizabeth,20,ZA,1694955993,56,-33.918,25.5701,67.1,20.71
101,Yilan,10,TW,1694956259,91,24.757,121.753,84.94,1.95
102,Iqaluit,9,CA,1694955927,73,63.7506,-68.5145,31.69,5.99
103,Belomorsk,100,RU,1694956259,82,64.5232,34.7668,57.13,11.43
104,Asău,80,RO,1694956259,48,46.4333,26.4,74.32,6.4
105,Shādegān,0,IR,1694956259,6,30.6497,48.6647,109.49,27.02
106,La Passe,100,FR,1694956003,44,45.5549,-0.8967,82.63,9.91
107,Codrington,100,AU,1694955989,91,-38.2667,141.9667,53.62,4.45
108,Bikenibeu Village,75,KI,1694956028,94,1.3673,173.1241,80.56,16.11
109,Dvinskoy Bereznik,100,RU,1694956002,62,62.8551,42.7072,59.36,9.33
110,Tsiombe,0,MG,1694956039,51,-25.3,45.4833,81.5,12.73
111,Namtsy,100,RU,1694956259,69,62.7161,129.6658,34.66,3.69
112,Carutapera,100,BR,1694956260,66,-1.195,-46.02,83.84,9.53
113,Pisco,75,PE,1694956041,77,-13.7,-76.2167,66.25,2.3
114,Tôlanaro,0,MG,1694955993,61,-25.0319,46.9987,79.54,10.33
115,El Alto,29,PE,1694956260,72,-4.2714,-81.2147,69.46,9.53
116,Selfoss,100,IS,1694956161,79,63.9331,-20.9971,51.04,9.84
117,Puerto Baquerizo Moreno,97,EC,1694956206,86,-0.9,-89.6,73.0,11.52
118,Jieshi,3,CN,1694956260,86,22.8134,115.8257,80.64,4.27
119,Alta,0,NO,1694956260,57,69.9689,23.2717,47.46,5.75
120,Kununurra,4,AU,1694956029,64,-15.7667,128.7333,69.78,2.3
121,Uvinza,42,TZ,1694956260,19,-5.1036,30.3911,96.12,0.58
122,Stanley,75,GB,1694955992,88,54.868,-1.6985,62.28,8.05
123,San Rafael,4,AR,1694955941,43,-34.6177,-68.3301,49.93,16.96
124,The Pas,97,CA,1694956260,82,53.8251,-101.2541,48.96,7.2
125,Viljandi,96,EE,1694956235,70,58.3639,25.59,63.1,9.6
126,Ar Ruţbah,0,IQ,1694956021,12,33.0381,40.2848,94.35,12.64
127,Welchman Hall,20,BB,1694956261,66,13.1833,-59.5667,85.24,6.91
128,Watsa,93,CD,1694956261,84,3.0372,29.5355,73.74,5.06
129,Yarumal,76,CO,1694956261,71,6.9632,-75.4174,60.98,1.79
130,Portland,0,US,1694956006,85,45.5234,-122.6762,55.62,0.0
131,Gaspé,100,CA,1694956261,99,48.8334,-64.4819,59.29,7.54
132,Port Lincoln,99,AU,1694955997,85,-34.7333,135.8667,58.26,19.06
133,Olutanga,100,PH,1694956261,81,7.3106,122.8464,81.0,10.31
134,Dunedin,49,NZ,1694955921,49,-45.8742,170.5036,50.81,5.01
135,São Tomé,96,ST,1694956262,74,0.3365,6.7273,79.72,9.06
136,Hermanus,9,ZA,1694955810,64,-34.4187,19.2345,60.8,10.87
137,Reyes,4,BO,1694955996,74,-14.3167,-67.3833,80.76,4.61
138,Kerikeri,7,NZ,1694955846,90,-35.2268,173.9474,51.91,1.99
139,Nadi,39,FJ,1694955982,94,-17.8,177.4167,75.81,2.71
140,Ovalle,55,CL,1694955841,63,-30.5983,-71.2003,60.91,2.73
